,code,text,tokens
708,Negative Activating,"2007 is when the u s stock market crashed, and i wonder if that reduced the amount of giving for some western nations ","['2007', 'is', 'when', 'the', 'u', 's', 'stock', 'market', 'crashed', 'and', 'i', 'wonder', 'if', 'that', 'reduced', 'the', 'amount', 'of', 'giving', 'for', 'some', 'western', 'nations']"
709,Personal advice,it might also be good to focus on the extremes like the netherlands vs honduras ,"['it', 'might', 'also', 'be', 'good', 'to', 'focus', 'on', 'the', 'extremes', 'like', 'the', 'netherlands', 'vs', 'honduras']"
711,Vocatives (addressing individual),"hi donna,your analysis is simple and clear ","['hi', 'donna', 'your', 'analysis', 'is', 'simple', 'and', 'clear']"
712,"Complementing, expressing appreciation",thank you katica,"['thank', 'you', 'katica']"
716,"Complementing, expressing appreciation",thanks for exploring so closely!,"['thanks', 'for', 'exploring', 'so', 'closely']"
717,"Complementing, expressing appreciation","thanks very much, good to know the data and story is easy to understand","['thanks', 'very', 'much', 'good', 'to', 'know', 'the', 'data', 'and', 'story', 'is', 'easy', 'to', 'understand']"
718,"Complementing, expressing appreciation",really great though ,"['really', 'great', 'though']"
719,"Complementing, expressing appreciation","hi hassel, thank you for these beautiful graphs ","['hi', 'hassel', 'thank', 'you', 'for', 'these', 'beautiful', 'graphs']"
720,Vocatives (addressing individual),"hi, takura!","['hi', 'takura']"
721,Personal advice,"the one thing i would add is to include the names of the parties along with the logos, for the benefit of those of us who cannot read hebrew ","['the', 'one', 'thing', 'i', 'would', 'add', 'is', 'to', 'include', 'the', 'names', 'of', 'the', 'parties', 'along', 'with', 'the', 'logos', 'for', 'the', 'benefit', 'of', 'those', 'of', 'us', 'who', 'cannot', 'read', 'hebrew']"
722,Negative Activating,"ironically, a local radio station here in colorado was doing a segment on this very topic ","['ironically', 'a', 'local', 'radio', 'station', 'here', 'in', 'colorado', 'was', 'doing', 'a', 'segment', 'on', 'this', 'very', 'topic']"
723,Vocatives (addressing individual),"hi arnold,i came to the same conclusion that small multiples was the ideal way to go ","['hi', 'arnold', 'i', 'came', 'to', 'the', 'same', 'conclusion', 'that', 'small', 'multiples', 'was', 'the', 'ideal', 'way', 'to', 'go']"
724,Asking questions,the questions that arise are is it true for race   gender for all level ?,"['the', 'questions', 'that', 'arise', 'are', 'is', 'it', 'true', 'for', 'race', 'gender', 'for', 'all', 'level']"
725,Asking questions,what the biggest differences between these extremes?,"['what', 'the', 'biggest', 'differences', 'between', 'these', 'extremes']"
726,"Complementing, expressing appreciation",you ve used color particularly well ,"['you', 've', 'used', 'color', 'particularly', 'well']"
727,Asking questions,"also as ""developing countries"" start to live longer will we see that they will all average out to a limit of human longevity?","['also', 'as', 'developing', 'countries', 'start', 'to', 'live', 'longer', 'will', 'we', 'see', 'that', 'they', 'will', 'all', 'average', 'out', 'to', 'a', 'limit', 'of', 'human', 'longevity']"
728,Personal advice,one thing which could be interesting would be to gradually change the color of the region of the map,"['one', 'thing', 'which', 'could', 'be', 'interesting', 'would', 'be', 'to', 'gradually', 'change', 'the', 'color', 'of', 'the', 'region', 'of', 'the', 'map']"
732,Vocatives (addressing individual),"hi hassel, thank you for these beautiful graphs ","['hi', 'hassel', 'thank', 'you', 'for', 'these', 'beautiful', 'graphs']"
733,Asking questions,do we have the data of cancer disease in african countries?,"['do', 'we', 'have', 'the', 'data', 'of', 'cancer', 'disease', 'in', 'african', 'countries']"
734,"Complementing, expressing appreciation",great work ,"['great', 'work']"
735,"Complementing, expressing appreciation",good viz  it is nice to see the patterns ,"['good', 'viz', 'it', 'is', 'nice', 'to', 'see', 'the', 'patterns']"
736,"Complementing, expressing appreciation",you re crafted a compelling story  great work!,"['you', 're', 'crafted', 'a', 'compelling', 'story', 'great', 'work']"
737,Negative Activating,one potential problem is that there are musicians who played different genres of music,"['one', 'potential', 'problem', 'is', 'that', 'there', 'are', 'musicians', 'who', 'played', 'different', 'genres', 'of', 'music']"
742,Negative Activating,"i wonder if one were to look at the  basket cases  of europe i e  ireland, spain, and greece who have seen crisis and austerity would the pattern across numerous social measurements be similar? great stuff tk","['i', 'wonder', 'if', 'one', 'were', 'to', 'look', 'at', 'the', 'basket', 'cases', 'of', 'europe', 'i', 'e', 'ireland', 'spain', 'and', 'greece', 'who', 'have', 'seen', 'crisis', 'and', 'austerity', 'would', 'the', 'pattern', 'across', 'numerous', 'social', 'measurements', 'be', 'similar', 'great', 'stuff', 'tk']"
743,"Complementing, expressing appreciation","thanks meenakshi, great suggestion ","['thanks', 'meenakshi', 'great', 'suggestion']"
745,Vocatives (addressing individual),"hi sergio, thanks for taking time and write ","['hi', 'sergio', 'thanks', 'for', 'taking', 'time', 'and', 'write']"
749,Vocatives (addressing individual),"hey kathleen, very nice job ","['hey', 'kathleen', 'very', 'nice', 'job']"
751,Personal advice,exploring more these points could be interesting!,"['exploring', 'more', 'these', 'points', 'could', 'be', 'interesting']"
752,Vocatives (addressing individual),"hi charlotte, very interesting topic, you have opened quite a lot the research, spared no effort to understand your data in various ways, this is very cool ","['hi', 'charlotte', 'very', 'interesting', 'topic', 'you', 'have', 'opened', 'quite', 'a', 'lot', 'the', 'research', 'spared', 'no', 'effort', 'to', 'understand', 'your', 'data', 'in', 'various', 'ways', 'this', 'is', 'very', 'cool']"
754,Asking questions,"was there a rapid increase of jobs created over this period, or are the vacancies due to some other factors?","['was', 'there', 'a', 'rapid', 'increase', 'of', 'jobs', 'created', 'over', 'this', 'period', 'or', 'are', 'the', 'vacancies', 'due', 'to', 'some', 'other', 'factors']"
756,Negative Activating,i wonder if the improvement also has to do with globalization and the racers and coaches having to be more competitive?,"['i', 'wonder', 'if', 'the', 'improvement', 'also', 'has', 'to', 'do', 'with', 'globalization', 'and', 'the', 'racers', 'and', 'coaches', 'having', 'to', 'be', 'more', 'competitive']"
757,Personal advice,the only minor change i would make to your presentation would be to use the same color,"['the', 'only', 'minor', 'change', 'i', 'would', 'make', 'to', 'your', 'presentation', 'would', 'be', 'to', 'use', 'the', 'same', 'color']"
758,"Complementing, expressing appreciation","hi, mariothank you for bringing up here so an important topic ","['hi', 'mariothank', 'you', 'for', 'bringing', 'up', 'here', 'so', 'an', 'important', 'topic']"
759,Vocatives (addressing individual),"hi eveline,great that you have identified an interesting story in qatar ","['hi', 'eveline', 'great', 'that', 'you', 'have', 'identified', 'an', 'interesting', 'story', 'in', 'qatar']"
760,"Complementing, expressing appreciation",thank you for taking this on this topic ,"['thank', 'you', 'for', 'taking', 'this', 'on', 'this', 'topic']"
761,"Complementing, expressing appreciation",great use of monochromatic as well  very compelling ,"['great', 'use', 'of', 'monochromatic', 'as', 'well', 'very', 'compelling']"
762,"Complementing, expressing appreciation",i especially like how you used it in the first image to classify a multivariate plot by continent ,"['i', 'especially', 'like', 'how', 'you', 'used', 'it', 'in', 'the', 'first', 'image', 'to', 'classify', 'a', 'multivariate', 'plot', 'by', 'continent']"
767,Personal advice,"i wonder if it was easy for you to select the information, it seems there are a lot of data about it ","['i', 'wonder', 'if', 'it', 'was', 'easy', 'for', 'you', 'to', 'select', 'the', 'information', 'it', 'seems', 'there', 'are', 'a', 'lot', 'of', 'data', 'about', 'it']"
768,"Complementing, expressing appreciation",i think its a really thorough analysis!,"['i', 'think', 'its', 'a', 'really', 'thorough', 'analysis']"
770,"Complementing, expressing appreciation",thanks for your feedback ,"['thanks', 'for', 'your', 'feedback']"
771,"Complementing, expressing appreciation","santiago,i really like that you chose data visualizations that were part of our lecture","['santiago', 'i', 'really', 'like', 'that', 'you', 'chose', 'data', 'visualizations', 'that', 'were', 'part', 'of', 'our', 'lecture']"
774,"Complementing, expressing appreciation",this is a great topic  i hope you dig deeper with it!,"['this', 'is', 'a', 'great', 'topic', 'i', 'hope', 'you', 'dig', 'deeper', 'with', 'it']"
775,Asking questions,perhaps there is a way to have a single chart with many lines and as you hover over each one the colors could pop out and highlight the lines?,"['perhaps', 'there', 'is', 'a', 'way', 'to', 'have', 'a', 'single', 'chart', 'with', 'many', 'lines', 'and', 'as', 'you', 'hover', 'over', 'each', 'one', 'the', 'colors', 'could', 'pop', 'out', 'and', 'highlight', 'the', 'lines']"
776,Asking questions,"is it to find out which markets are potentially interesting for sponsors, because they combine a large tv audience and a relatively high income?","['is', 'it', 'to', 'find', 'out', 'which', 'markets', 'are', 'potentially', 'interesting', 'for', 'sponsors', 'because', 'they', 'combine', 'a', 'large', 'tv', 'audience', 'and', 'a', 'relatively', 'high', 'income']"
777,"Complementing, expressing appreciation",the time to try to use them ,"['the', 'time', 'to', 'try', 'to', 'use', 'them']"
778,Negative Activating,my only quibble with the visual is the labels on each line the key on the bottom was enough for me to follow the trends ,"['my', 'only', 'quibble', 'with', 'the', 'visual', 'is', 'the', 'labels', 'on', 'each', 'line', 'the', 'key', 'on', 'the', 'bottom', 'was', 'enough', 'for', 'me', 'to', 'follow', 'the', 'trends']"
779,"Complementing, expressing appreciation","annabelle, your story made me smile   )","['annabelle', 'your', 'story', 'made', 'me', 'smile']"
780,Negative Activating,it seems strange to me that  none  of them are english language learners ,"['it', 'seems', 'strange', 'to', 'me', 'that', 'none', 'of', 'them', 'are', 'english', 'language', 'learners']"
782,Negative Activating,i wonder if it would be more informative to show the difference in the percentage of the population instead of the growth rate ,"['i', 'wonder', 'if', 'it', 'would', 'be', 'more', 'informative', 'to', 'show', 'the', 'difference', 'in', 'the', 'percentage', 'of', 'the', 'population', 'instead', 'of', 'the', 'growth', 'rate']"
783,Asking questions,"for your scatter plot idea, how would you define your axes and what if any encoding would you apply to highlight income category, country, and sex?","['for', 'your', 'scatter', 'plot', 'idea', 'how', 'would', 'you', 'define', 'your', 'axes', 'and', 'what', 'if', 'any', 'encoding', 'would', 'you', 'apply', 'to', 'highlight', 'income', 'category', 'country', 'and', 'sex']"
785,"Complementing, expressing appreciation","hi, annabelle   i love this!","['hi', 'annabelle', 'i', 'love', 'this']"
786,Asking questions,did you mention any bollywood star in the presentation?,"['did', 'you', 'mention', 'any', 'bollywood', 'star', 'in', 'the', 'presentation']"
787,Vocatives (addressing individual),hi dima i like this topic that you chose ,"['hi', 'dima', 'i', 'like', 'this', 'topic', 'that', 'you', 'chose']"
788,Asking questions,why do you think your colleague found a different average from you?,"['why', 'do', 'you', 'think', 'your', 'colleague', 'found', 'a', 'different', 'average', 'from', 'you']"
789,"Complementing, expressing appreciation","hello, felix!i was impressed by this flourish ability! very shocking to see their performance and results! congratulations!","['hello', 'felix', 'i', 'was', 'impressed', 'by', 'this', 'flourish', 'ability', 'very', 'shocking', 'to', 'see', 'their', 'performance', 'and', 'results', 'congratulations']"
